actorTag,className,stepName,mean,std,min,max,count
alice,DidVCActor,createPresentation01,0.14,0.348735088019777,0,1,100
alice,DidVCActor,createPresentation02,0.17,0.37752516806863695,0,1,100
alice,DidVCActor,deriveDiplomaCredential,652.25,52.34045020128054,579,936,100
alice,DidVCActor,deriveIdentityCredential,17.89,1.384583225043084,16,28,100
alice,DidVCActor,signPresentation01,16.96,2.12212967168228,12,23,100
alice,DidVCActor,signPresentation02,12.94,1.8192017341391655,11,22,100
alice,SolidVCActor,createPresentation01,0.04,0.19694638556693242,0,1,100
alice,SolidVCActor,createPresentation02,0.05,0.21904291355759034,0,1,100
alice,SolidVCActor,deriveDiplomaCredential,397.93,72.8804549043892,330,728,100
alice,SolidVCActor,deriveIdentityCredential,19.55,1.4590366269521404,18,23,100
alice,SolidVCActor,signPresentation01,16.86,2.6362661075655835,12,23,100
alice,SolidVCActor,signPresentation02,12.64,1.0398135030918387,11,16,100
government,DidVCActor,createIdentityCredential,0.06,0.23868325657594203,0,1,100
government,DidVCActor,signIdentityCredential,10.51,1.4736404451616278,9,20,100
government,SolidVCActor,createIdentityCredential,0.02,0.1407052941362897,0,1,100
government,SolidVCActor,signIdentityCredential,12.0,1.2060453783110547,10,17,100
recruiter,DidVCActor,verifyPresentation01,19.53,1.6109160453141274,15,25,100
recruiter,DidVCActor,verifyPresentation02,15.56,2.2261984628418903,13,28,100
recruiter,SolidVCActor,verifyPresentation01,69.71,6.849456219660836,58,85,100
recruiter,SolidVCActor,verifyPresentation02,15.47,1.3139115785940987,13,21,100
university,DidVCActor,createDiplomaCredential,0.09,0.28762349126466136,0,1,100
university,DidVCActor,signDiplomaCredential,502.73,28.6341799712557,473,766,100
university,SolidVCActor,createDiplomaCredential,0.23,0.42295258468165065,0,1,100
university,SolidVCActor,signDiplomaCredential,523.05,51.371960083573626,481,899,100
