,cohend_DidVCActor_SolidVCActor,effect_class
createDiplomaCredential,-0.38708892755778734,SMALL
signDiplomaCredential,-0.4886115883309372,SMALL
createIdentityCredential,0.2041671142136164,SMALL
signIdentityCredential,-1.1065669323527088,LARGE
deriveDiplomaCredential,4.008375039545099,HUGE
createPresentation01,0.35310782848733735,SMALL
signPresentation01,0.041787755752730665,VERY_SMALL
verifyPresentation01,-10.085530535666502,HUGE
deriveIdentityCredential,-1.16712597986619,LARGE
createPresentation02,0.3888149873392734,SMALL
signPresentation02,0.20247388715410886,SMALL
verifyPresentation02,0.04923724761593275,VERY_SMALL
