idx_report,idx_step,fpath,start_report,end_report,delta_report,actor,stepName,start,end,delta,actorTag,className
0,0,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,createDiplomaCredential,1700705651846,1700705651846,0,university,SolidVCActor
0,1,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,signDiplomaCredential,1700705651846,1700705652354,508,university,SolidVCActor
0,2,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,createIdentityCredential,1700705652354,1700705652354,0,government,SolidVCActor
0,3,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,signIdentityCredential,1700705652354,1700705652366,12,government,SolidVCActor
0,4,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,deriveDiplomaCredential,1700705652366,1700705652735,369,alice,SolidVCActor
0,5,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,createPresentation01,1700705652735,1700705652735,0,alice,SolidVCActor
0,6,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,signPresentation01,1700705652735,1700705652753,18,alice,SolidVCActor
0,7,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,verifyPresentation01,1700705652753,1700705652818,65,recruiter,SolidVCActor
0,8,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,deriveIdentityCredential,1700705652818,1700705652836,18,alice,SolidVCActor
0,9,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,createPresentation02,1700705652836,1700705652837,1,alice,SolidVCActor
0,10,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,signPresentation02,1700705652837,1700705652849,12,alice,SolidVCActor
0,11,./reports/profiling/multiactor-report-1700705651846.json,1700705651846,1700705652864,1018,multiactor,verifyPresentation02,1700705652849,1700705652864,15,recruiter,SolidVCActor
1,0,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,createDiplomaCredential,1700707319196,1700707319196,0,university,DidVCActor
1,1,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,signDiplomaCredential,1700707319196,1700707319693,497,university,DidVCActor
1,2,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,createIdentityCredential,1700707319693,1700707319693,0,government,DidVCActor
1,3,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,signIdentityCredential,1700707319693,1700707319704,11,government,DidVCActor
1,4,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,deriveDiplomaCredential,1700707319704,1700707320313,609,alice,DidVCActor
1,5,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,createPresentation01,1700707320313,1700707320313,0,alice,DidVCActor
1,6,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,signPresentation01,1700707320313,1700707320330,17,alice,DidVCActor
1,7,./reports/profiling/multiactor-report-1700707319196.json,1700707319196,1700707320396,1200,multiactor,verifyPresentation01,1700707320330,1700707320350,20,recruiter,DidVCActor
