,idx_report,idx_step,dlco,dlco,dlco,report,report,report,report,report,report,report,report,report,report
,,,DID_cacheResolvedDIDDocs,HTTP_cacheWebResourcesResolvedFromLocalHostInstances,HTTP_cacheWebResourcesResolvedFromTheWeb,actorStep,actorTag,className,delta,end,start,stepName,solution_label,phase,delta_log1p
0,0,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850242065,1701850242065,createDiplomaCredential,third-party,pre-evaluation,0.0
2,2,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852220501,1701852220501,createDiplomaCredential,third-party,pre-evaluation,0.0
3,3,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851846655,1701851846655,createDiplomaCredential,third-party,pre-evaluation,0.0
5,5,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852300810,1701852300810,createDiplomaCredential,third-party,pre-evaluation,0.0
6,6,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851883827,1701851883827,createDiplomaCredential,third-party,pre-evaluation,0.0
7,7,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852177134,1701852177134,createDiplomaCredential,third-party,pre-evaluation,0.0
9,9,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851602339,1701851602339,createDiplomaCredential,third-party,pre-evaluation,0.0
10,10,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,1,1701850326817,1701850326816,createDiplomaCredential,third-party,pre-evaluation,0.6931471805599453
11,11,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851991406,1701851991406,createDiplomaCredential,third-party,pre-evaluation,0.0
12,12,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850987200,1701850987200,createDiplomaCredential,third-party,pre-evaluation,0.0
15,15,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851626563,1701851626563,createDiplomaCredential,third-party,pre-evaluation,0.0
18,18,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850936718,1701850936718,createDiplomaCredential,third-party,pre-evaluation,0.0
19,19,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851410320,1701851410320,createDiplomaCredential,third-party,pre-evaluation,0.0
22,22,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851578707,1701851578707,createDiplomaCredential,third-party,pre-evaluation,0.0
23,23,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850385294,1701850385294,createDiplomaCredential,third-party,pre-evaluation,0.0
24,24,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851361478,1701851361478,createDiplomaCredential,third-party,pre-evaluation,0.0
25,25,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852141636,1701852141636,createDiplomaCredential,third-party,pre-evaluation,0.0
28,28,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850442048,1701850442048,createDiplomaCredential,third-party,pre-evaluation,0.0
29,29,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851779562,1701851779562,createDiplomaCredential,third-party,pre-evaluation,0.0
30,30,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850995134,1701850995134,createDiplomaCredential,third-party,pre-evaluation,0.0
31,31,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851634913,1701851634913,createDiplomaCredential,third-party,pre-evaluation,0.0
33,33,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851172773,1701851172773,createDiplomaCredential,third-party,pre-evaluation,0.0
38,38,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852482377,1701852482377,createDiplomaCredential,third-party,pre-evaluation,0.0
39,39,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850978800,1701850978800,createDiplomaCredential,third-party,pre-evaluation,0.0
41,41,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850780417,1701850780417,createDiplomaCredential,third-party,pre-evaluation,0.0
42,42,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701852268870,1701852268870,createDiplomaCredential,third-party,pre-evaluation,0.0
43,43,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850875306,1701850875306,createDiplomaCredential,third-party,pre-evaluation,0.0
44,44,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851795446,1701851795446,createDiplomaCredential,third-party,pre-evaluation,0.0
46,46,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851707468,1701851707468,createDiplomaCredential,third-party,pre-evaluation,0.0
49,49,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701850251644,1701850251644,createDiplomaCredential,third-party,pre-evaluation,0.0
50,50,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851067393,1701851067393,createDiplomaCredential,third-party,pre-evaluation,0.0
51,51,0,False,False,False,university.createDiplomaCredential,university,SolidVCActor,0,1701851115264,1701851115264,createDiplomaCredential,third-party,pre-evaluation,0.0
