,,,delta,delta,delta,delta,delta,delta,delta,delta
,,,median,mean,std,min,max,count,skew,kurt
actorTag,solution_label,stepName,,,,,,,,
alice,did-key,createPresentation01,0.0,0.24,0.4521553322083512,0,2,100,1.5659984163035665,1.32078058748688
alice,did-key,createPresentation02,0.0,0.07,0.2931886695621029,0,2,100,4.571772360513699,22.495197695841906
alice,did-key,deriveDiplomaCredential,2984.5,3019.57,330.2580642314415,2736,5606,100,4.960959172897517,37.56082071134352
alice,did-key,deriveIdentityCredential,2983.5,3035.98,297.1795355734247,2723,4759,100,2.7587911025480163,12.356793187948993
alice,did-key,signPresentation01,193.5,196.89,37.3308697780247,154,526,100,7.020681417060484,61.86613637881394
alice,did-key,signPresentation02,196.0,198.65,35.04726246171883,156,512,100,7.320240309199684,65.60382662833297
alice,third-party,createPresentation01,0.0,0.04,0.19694638556693236,0,1,100,4.766655186393547,21.143554071112973
alice,third-party,createPresentation02,0.0,0.04,0.19694638556693236,0,1,100,4.766655186393549,21.14355407111298
alice,third-party,deriveDiplomaCredential,2970.5,2995.89,224.43283825877378,2710,3899,100,1.0842178144525834,1.559110416302222
alice,third-party,deriveIdentityCredential,2986.5,2978.87,192.0386458897051,2698,3531,100,0.531834155927194,-0.2528659428649931
alice,third-party,signPresentation01,192.5,194.0,29.688279495348663,152,451,100,6.6243334262621465,57.339737617278026
alice,third-party,signPresentation02,197.0,197.45,32.34922289981975,162,490,100,7.573627168213329,68.77114614961913
government,did-key,createIdentityCredential,0.0,0.05,0.21904291355759034,0,1,100,4.192636648331106,15.89577773594517
government,did-key,signIdentityCredential,665.0,683.29,68.0165302249268,610,1001,100,2.7192196847515877,9.17095472101014
government,third-party,createIdentityCredential,0.0,0.03,0.1714466079977653,0,1,100,5.594649463592128,29.897774818291623
government,third-party,signIdentityCredential,667.5,677.03,61.108688565389926,607,923,100,2.2864650255610486,6.763488284596669
recruiter,did-key,verifyPresentation01,993.5,983.59,158.08347718081026,796,2074,100,3.8498799029676976,24.088720620184922
recruiter,did-key,verifyPresentation02,197.5,204.88,40.801881517321426,153,458,100,3.8536787286105496,18.539552811846075
recruiter,third-party,verifyPresentation01,195.0,205.32,53.62456093389983,163,532,100,4.9229426367091005,26.057799331769278
recruiter,third-party,verifyPresentation02,195.0,199.62,30.65934695252911,155,447,100,5.425650982202612,42.76715529460031
university,did-key,createDiplomaCredential,0.0,0.01,0.09999999999999999,0,1,100,9.999999999999996,100.00000000000011
university,did-key,signDiplomaCredential,657.0,674.2,76.32400366433572,604,1035,100,2.743650192734514,9.092215831500344
university,third-party,createDiplomaCredential,0.0,0.01,0.1,0,1,100,10.0,99.99999999999999
university,third-party,signDiplomaCredential,662.0,672.7,85.28093798638933,602,1246,100,4.162280277615995,22.73438207730452
